0,4439,2993,1000,986,995,991
1,4400,2987,992,1009,977,980
2,4368,2975,980,993,966,992
3,4312,2963,971,981,951,1003
4,4265,2952,952,972,943,1000
5,4231,2943,938,966,938,1000
6,4191,2938,921,951,933,1000
7,4125,2933,906,934,956,991
8,4084,2922,931,920,941,978
9,4057,2910,922,906,927,993
10,4021,2897,939,888,920,976
11,3984,2886,932,908,911,962
12,3939,2878,956,902,894,957
13,3904,2873,940,886,908,940
14,3838,2862,928,906,897,922
15,3800,2854,919,893,883,947
16,3764,2841,944,882,873,938
17,3711,2828,926,899,866,922
18,3670,2814,917,887,884,908
19,3605,2801,899,900,869,900
20,3578,2793,886,883,883,886
21,3546,2783,878,871,875,909
22,3480,2772,865,856,866,930
23,3444,2763,851,870,854,923
24,3409,2751,843,886,835,918
25,3344,2739,824,898,818,899
26,3281,2727,812,880,807,922
27,3215,2716,805,865,792,947
28,3167,2709,794,855,787,969
29,3130,2701,810,847,780,950
30,3074,2690,804,838,798,934
31,3009,2682,786,851,782,916
32,2965,2677,777,837,773,936
33,2937,2667,763,858,767,924
34,2885,2662,744,852,755,941
35,2844,2657,727,869,739,925
36,2816,2646,711,854,751,911
37,2789,2633,704,843,737,928
38,2763,2625,695,825,721,943
39,2733,2615,679,819,707,966
40,2694,2607,669,813,693,985
41,2666,2595,664,826,675,969
42,2604,2585,654,850,656,952
43,2561,2572,671,834,642,937
44,2533,2566,663,850,629,923
45,2492,2559,658,841,612,945
46,2465,2547,642,852,599,938
47,2400,2536,628,876,588,930
48,2364,2526,618,894,570,914
49,2299,2514,610,906,551,908
50,2255,2506,635,895,532,899
51,2225,2498,620,882,543,891
52,2167,2493,604,863,529,909
53,2138,2479,593,851,543,903
54,2110,2469,581,841,563,897
55,2058,2455,566,825,546,921
56,2018,2448,559,815,530,938
57,1953,2443,549,796,521,951
58,1906,2430,543,820,514,933
59,1856,2424,533,833,504,917
60,1817,2418,518,827,486,940
61,1776,2407,503,822,469,954
62,1732,2401,484,806,482,946
63,1703,2390,474,798,476,967
64,1663,2377,463,790,457,992
65,1623,2371,452,813,445,984
66,1561,2364,435,833,440,979
67,1521,2354,430,851,427,969
68,1469,2349,421,845,445,962
69,1421,2340,412,837,427,977
70,1386,2329,436,821,421,971
71,1354,2317,424,814,404,992
72,1302,2304,442,801,390,978
73,1266,2298,428,786,403,959
74,1214,2290,410,801,387,943
75,1147,2280,401,786,370,955
76,1107,2275,424,778,354,940
77,1059,2262,418,800,335,930
78,1027,2257,401,786,326,947
79,966,2248,385,774,309,967
80,904,2237,372,763,290,984
81,837,2229,391,744,280,968
82,781,2219,375,734,261,982
83,729,2207,367,717,242,998
84,667,2199,357,701,260,991
85,617,2189,349,690,283,976
86,586,2175,362,673,271,965
87,546,2165,346,664,264,989
88,479,2160,339,676,257,970
89,412,2147,327,661,274,951
90,386,2142,309,648,266,967
91,355,2134,322,630,249,959
92,307,2124,347,614,235,952
93,263,2111,328,627,223,936
94,202,2101,310,613,236,930
95,137,2089,298,600,254,924
96,84,2078,285,582,277,906
97,27,2072,276,598,260,896
